Language,Ways to say sorry,Edit
Albanian,Më vjen keq,Edit
Basque,Sentitzen,Edit
Belarusian,прабачце,Edit
Bosnian,izvini,Edit
Bulgarian,съжалявам,Edit
Catalan,ho sento,Edit
Corsican,scusa,Edit
Croatian,oprostite,Edit
Czech,Promiňte,Edit
Danish,undskyld,Edit
Dutch,Sorry,Edit
Estonian,Vabandust,Edit
Finnish,anteeksi,Edit
French,Pardon,Edit
Frisian,Sorry,Edit
Galician,Sentímolo,Edit
German,Es tut uns leid,Edit
Greek,συγνώμη [sygnómi],Edit
Hungarian,sajnálom,Edit
Icelandic,Fyrirgefðu,Edit
Irish,tá brón orainn,Edit
Italian,scusa,Edit
Latvian,Atvainojiet,Edit
Lithuanian,atsiprašau,Edit
Luxembourgish,entschëllegt,Edit
Macedonian,жал,Edit
Maltese,sorry,Edit
Norwegian,Beklager,Edit
Polish,Przepraszam,Edit
Portuguese,desculpa,Edit
Romanian,scuze,Edit
Russian,Прости [Prosti],Edit
Scots Gaelic,duilich,Edit
Serbian,извињавам се [izvinjavam se],Edit
Slovak,Prepáč,Edit
Slovenian,žal mi je,Edit
Spanish,lo siento,Edit
Swedish,förlåt,Edit
Tatar,гафу итегез,Edit
Ukrainian,вибачте [vybachte],Edit
Welsh,Mae'n ddrwg,Edit
Yiddish,נעבעכדיק,Edit
Language,Ways to say sorry,
Armenian,կներեք,Edit
Azerbaijani,üzr,Edit
Bengali,দুঃখিত,Edit
Chinese Simplified,抱歉 [bàoqiàn],Edit
Chinese Traditional,抱歉 [bàoqiàn],Edit
Georgian,ბოდიში,Edit
Gujarati,માફ,Edit
Hindi,माफ़ कीजिये,Edit
Hmong,thov txim,Edit
Japanese,ごめんなさい,Edit
Kannada,ಕ್ಷಮಿಸಿ,Edit
Kazakh,Кешіріңіз,Edit
Khmer,សុំទោស,Edit
Korean,죄송합니다 [joesonghabnida],Edit
Kyrgyz,Кечириңиз,Edit
Lao,ຂໍ​ໂທດ,Edit
Malayalam,ക്ഷമിക്കണം,Edit
Marathi,दु: ख,Edit
Mongolian,уучлаарай,Edit
Myanmar (Burmese),တောင်းပန်ပါတယ်,Edit
Nepali,माफ गर्नुहोस्,Edit
Odia,ଦୁ sorry ଖିତ,Edit
Pashto,بخښنه,Edit
Punjabi,ਮਾਫ ਕਰਨਾ,Edit
Sindhi,افسوس,Edit
Sinhala,සමාවන්න,Edit
Tajik,Узр,Edit
Tamil,மன்னிக்கவும்,Edit
Telugu,క్షమించండి,Edit
Thai,ขอโทษ,Edit
Turkish,afedersiniz,Edit
Turkmen,Bagyşlaň,Edit
Urdu,معذرت,Edit
Uyghur,كەچۈرۈڭ,Edit
Uzbek,Kechirasiz,Edit
Vietnamese,lấy làm tiếc,Edit
Language,Ways to say sorry,
Arabic,معذرة [maedhira],Edit
Hebrew,מצטער,Edit
Kurdish (Kurmanji),bibore,Edit
Persian,متاسف,Edit
Language,Ways to say sorry,
Afrikaans,jammer,Edit
Amharic,አዝናለሁ,Edit
Chichewa,pepani,Edit
Hausa,hakuri,Edit
Igbo,ndo,Edit
Kinyarwanda,mumbabarire,Edit
Sesotho,masoabi,Edit
Shona,ndine hurombo,Edit
Somali,ka xumahay,Edit
Swahili,pole,Edit
Xhosa,uxolo,Edit
Yoruba,binu,Edit
Zulu,sorry,Edit
Language,Ways to say sorry,
Cebuano,sorry,Edit
Filipino,nalulungkot,Edit
Hawaiian,e kala mai,Edit
Indonesian,Maaf,Edit
Javanese,nuwun,Edit
Malagasy,miala tsiny,Edit
Malay,maaf,Edit
Maori,pouri,Edit
Samoan,malie,Edit
Sundanese,punten,Edit
Language,Ways to say sorry,
Esperanto,bedaŭras,Edit
Haitian Creole,regrèt,Edit
Latin,paenitet,Edit